PFAM	DUF	CS	GO	Ontology	Description	PFAMDescription	PFAMCount	DUFCount
PF01025	PF08878	Low	GO:0006457	BP	protein folding	GrpE	26305	44
PF01026	PF08878	Low	NA	NA	NA	TatD related DNase	26315	44
PF01035	PF08878	Low	GO:0006281	BP	DNA repair	6-O-methylguanine DNA methyltransferase, DNA binding domain	24056	44
PF01043	PF08878	Low	GO:0017038	BP	protein import	SecA preprotein cross-linking domain	25739	44
PF01084	PF08878	Low	GO:0006412	BP	translation	Ribosomal protein S18	25863	44
PF01131	PF08878	Low	GO:0006265	BP	DNA topological change	DNA topoisomerase	26393	44
PF01197	PF08878	Low	GO:0006412	BP	translation	Ribosomal protein L31	25995	44
PF01250	PF08878	Low	GO:0006412	BP	translation	Ribosomal protein S6	26036	44
PF01281	PF08878	Low	NA	NA	NA	Ribosomal protein L9, N-terminal domain	25448	44
PF01330	PF08878	Low	GO:0006281	BP	DNA repair	RuvA N terminal domain	25239	44
PF01330	PF08878	Low	GO:0006310	BP	DNA recombination	RuvA N terminal domain	25239	44
PF01367	PF08878	Low	NA	NA	NA	5'-3' exonuclease, C-terminal SAM fold	25972	44
PF01381	PF08878	Low	NA	NA	NA	Helix-turn-helix	24979	44
PF01406	PF08878	Low	NA	NA	NA	tRNA synthetases class I (C) catalytic domain	26293	44
PF01632	PF08878	Low	GO:0006412	BP	translation	Ribosomal protein L35	25501	44
PF01653	PF08878	Low	NA	NA	NA	NAD-dependent DNA ligase adenylation domain	25453	44
PF01668	PF08878	Low	NA	NA	NA	SmpB protein	25791	44
PF01709	PF08878	Low	NA	NA	NA	Transcriptional regulator	25981	44
PF01715	PF08878	Low	GO:0008033	BP	tRNA processing	IPP transferase	26069	44
PF01807	PF08878	Low	GO:0006260	BP	DNA replication	CHC2 zinc finger	25914	44
PF02096	PF08878	Low	NA	NA	NA	60Kd inner membrane protein	26063	44
PF02130	PF08878	Low	GO:0006364	BP	rRNA processing	Uncharacterized protein family UPF0054	25978	44
PF02357	PF08878	Low	GO:0006355	BP	regulation of transcription, DNA-templated	Transcription termination factor nusG	25645	44
PF02367	PF08878	Low	GO:0002949	BP	tRNA threonylcarbamoyladenosine modification	Threonylcarbamoyl adenosine biosynthesis protein TsaE	25787	44
PF02403	PF08878	Low	NA	NA	NA	Seryl-tRNA synthetase N-terminal domain	25664	44
PF02739	PF08878	Low	NA	NA	NA	5'-3' exonuclease, N-terminal resolvase-like domain	26057	44
PF02767	PF08878	Low	GO:0006260	BP	DNA replication	DNA polymerase III beta subunit, central domain	25805	44
PF02768	PF08878	Low	GO:0006260	BP	DNA replication	DNA polymerase III beta subunit, C-terminal domain	25904	44
PF02772	PF08878	Low	GO:0006556	BP	S-adenosylmethionine biosynthetic process	S-adenosylmethionine synthetase, central domain	24552	44
PF02773	PF08878	Low	GO:0006556	BP	S-adenosylmethionine biosynthetic process	S-adenosylmethionine synthetase, C-terminal domain	24800	44
PF02800	PF08878	Low	GO:0055114	BP	oxidation-reduction process	Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain	25864	44
PF02882	PF08878	Low	NA	NA	NA	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain	25607	44
PF02911	PF08878	Low	GO:0009058	BP	biosynthetic process	Formyl transferase, C-terminal domain	25746	44
PF02912	PF08878	Low	GO:0006432	BP	phenylalanyl-tRNA aminoacylation	Aminoacyl tRNA synthetase class II, N-terminal domain	24964	44
PF03120	PF08878	Low	GO:0006281	BP	DNA repair	NAD-dependent DNA ligase OB-fold domain	25333	44
PF03120	PF08878	Low	GO:0006260	BP	DNA replication	NAD-dependent DNA ligase OB-fold domain	25333	44
PF03484	PF08878	Low	GO:0006432	BP	phenylalanyl-tRNA aminoacylation	tRNA synthetase B5 domain	25634	44
PF03485	PF08878	Low	GO:0006420	BP	arginyl-tRNA aminoacylation	Arginyl tRNA synthetase N terminal domain	25575	44
PF03772	PF08878	Low	NA	NA	NA	Competence protein	24341	44
PF03952	PF08878	Low	NA	NA	NA	Enolase, N-terminal domain	24728	44
PF04561	PF08878	Low	GO:0006351	BP	transcription, DNA-templated	RNA polymerase Rpb2, domain 2	24752	44
PF04563	PF08878	Low	GO:0006351	BP	transcription, DNA-templated	RNA polymerase beta subunit	24982	44
PF04565	PF08878	Low	GO:0006351	BP	transcription, DNA-templated	RNA polymerase Rpb2, domain 3	24765	44
PF04851	PF08878	Low	NA	NA	NA	Type III restriction enzyme, res subunit	26189	44
PF05491	PF08878	Low	GO:0006281	BP	DNA repair	RuvB C-terminal winged helix domain	25667	44
PF05491	PF08878	Low	GO:0006310	BP	DNA recombination	RuvB C-terminal winged helix domain	25667	44
PF05697	PF08878	Low	GO:0006457	BP	protein folding	Bacterial trigger factor protein (TF)	25651	44
PF05697	PF08878	Low	GO:0015031	BP	protein transport	Bacterial trigger factor protein (TF)	25651	44
PF06071	PF08878	Low	NA	NA	NA	Protein of unknown function (DUF933)	25933	44
PF06421	PF08878	Low	NA	NA	NA	GTP-binding protein LepA C-terminus	25825	44
PF07516	PF08878	Low	GO:0017038	BP	protein import	SecA Wing and Scaffold domain	26154	44
PF07517	PF08878	Low	GO:0017038	BP	protein import	SecA DEAD-like domain	26064	44
PF08207	PF08878	Low	NA	NA	NA	Elongation factor P (EF-P) KOW-like domain	26144	44
PF08275	PF08878	Low	NA	NA	NA	DNA primase catalytic core, N-terminal domain	26042	44
PF08299	PF08878	Low	GO:0006275	BP	regulation of DNA replication	Bacterial dnaA protein helix-turn-helix	25734	44
PF08299	PF08878	Low	GO:0006270	BP	DNA replication initiation	Bacterial dnaA protein helix-turn-helix	25734	44
PF08459	PF08878	Low	NA	NA	NA	UvrC Helix-hairpin-helix N-terminal	25901	44
PF08529	PF08878	Low	GO:0031554	BP	regulation of DNA-templated transcription, termination	NusA N-terminal domain	26089	44
PF10385	PF08878	Low	GO:0006351	BP	transcription, DNA-templated	RNA polymerase beta subunit external 1 domain	24715	44
PF11987	PF08878	Low	NA	NA	NA	Translation-initiation factor 2	26284	44
PF12344	PF08878	Low	NA	NA	NA	Ultra-violet resistance protein B	25640	44
PF13184	PF08878	Low	NA	NA	NA	NusA-like KH domain	26152	44
PF13522	PF08878	Low	NA	NA	NA	Glutamine amidotransferase domain	23919	44
PF13603	PF08878	Low	GO:0006418	BP	tRNA aminoacylation for protein translation	Leucyl-tRNA synthetase, Domain 2	25635	44
PF13793	PF08878	Low	NA	NA	NA	N-terminal domain of ribose phosphate pyrophosphokinase	24674	44
PF07511	PF08900	High	NA	NA	NA	Protein of unknown function (DUF1525)	610	119
PF07514	PF08900	Low	NA	NA	NA	Putative helicase	1301	119
PF07515	PF08900	High	NA	NA	NA	Putative conjugal transfer nickase/helicase TraI C-term	814	119
PF09686	PF08900	High	NA	NA	NA	Plasmid protein of unknown function (Plasmid_RAQPRD)	676	119
PF11072	PF08900	High	NA	NA	NA	Protein of unknown function (DUF2859)	728	119
PF11190	PF08900	High	NA	NA	NA	Protein of unknown function (DUF2976)	660	119
PF11198	PF08900	High	NA	NA	NA	Protein of unknown function (DUF2857)	767	119
PF11358	PF08900	High	NA	NA	NA	Protein of unknown function (DUF3158)	451	119
PF11444	PF08900	High	NA	NA	NA	Protein of unknown function (DUF2895)	750	119
PF11660	PF08900	High	NA	NA	NA	Protein of unknown function (DUF3262)	669	119
PF11920	PF08900	High	NA	NA	NA	Protein of unknown function (DUF3438)	777	119
PF11990	PF08900	High	NA	NA	NA	Protein of unknown function (DUF3487)	726	119
PF12101	PF08900	High	NA	NA	NA	Protein of unknown function (DUF3577)	686	119
PF14348	PF08900	High	NA	NA	NA	Domain of unknown function (DUF4400)	1112	119
PF06808	PF08905	Low	NA	NA	NA	Tripartite ATP-independent periplasmic transporter, DctM component	11556	NA
PF08887	PF08906	High	NA	NA	NA	GAD-like domain	682	36
PF08929	PF08928	High	NA	NA	NA	Domain of unknown function (DUF1911)	637	NA
PF08928	PF08929	High	NA	NA	NA	Domain of unknown function (DUF1910)	541	2577
PF13268	PF08930	High	NA	NA	NA	Protein of unknown function (DUF4059)	308	NA
PF00466	PF08937	Low	GO:0042254	BP	ribosome biogenesis	Ribosomal protein L10	25304	38
PF00533	PF08937	Low	NA	NA	NA	BRCA1 C Terminus (BRCT) domain	25279	38
PF00886	PF08937	Low	GO:0006412	BP	translation	Ribosomal protein S16	25914	38
PF01381	PF08937	Low	NA	NA	NA	Helix-turn-helix	24979	38
PF01632	PF08937	Low	GO:0006412	BP	translation	Ribosomal protein L35	25501	38
PF01668	PF08937	Low	NA	NA	NA	SmpB protein	25791	38
PF01807	PF08937	Low	GO:0006260	BP	DNA replication	CHC2 zinc finger	25914	38
PF03120	PF08937	Low	GO:0006281	BP	DNA repair	NAD-dependent DNA ligase OB-fold domain	25333	38
PF03120	PF08937	Low	GO:0006260	BP	DNA replication	NAD-dependent DNA ligase OB-fold domain	25333	38
PF03143	PF08937	Low	NA	NA	NA	Elongation factor Tu C-terminal domain	24618	38
PF03484	PF08937	Low	GO:0006432	BP	phenylalanyl-tRNA aminoacylation	tRNA synthetase B5 domain	25634	38
PF05697	PF08937	Low	GO:0006457	BP	protein folding	Bacterial trigger factor protein (TF)	25651	38
PF05697	PF08937	Low	GO:0015031	BP	protein transport	Bacterial trigger factor protein (TF)	25651	38
PF06071	PF08937	Low	NA	NA	NA	Protein of unknown function (DUF933)	25933	38
PF08207	PF08937	Low	NA	NA	NA	Elongation factor P (EF-P) KOW-like domain	26144	38
PF08275	PF08937	Low	NA	NA	NA	DNA primase catalytic core, N-terminal domain	26042	38
PF13603	PF08937	Low	GO:0006418	BP	tRNA aminoacylation for protein translation	Leucyl-tRNA synthetase, Domain 2	25635	38
PF10626	PF08989	Low	NA	NA	NA	Conjugative transposon protein TraO	558	550
PF11888	PF08989	High	NA	NA	NA	Protein of unknown function (DUF3408)	582	550
PF12988	PF08989	High	NA	NA	NA	Domain of unknown function, B. Theta Gene description (DUF3872)	530	550
PF13351	PF08989	Low	NA	NA	NA	Protein of unknown function (DUF4099)	688	550
PF09626	PF09086	High	NA	NA	NA	Dihaem cytochrome c	1139	4
PF09095	PF09094	High	GO:0005975	BP	carbohydrate metabolic process	Domain of unknown function (DUF1926)	846	10
PF09094	PF09095	High	NA	NA	NA	Domain of unknown function (DUF1925)	737	NA
PF00107	PF09130	Low	GO:0055114	BP	oxidation-reduction process	Zinc-binding dehydrogenase	22139	2893
PF00248	PF09130	Low	NA	NA	NA	Aldo/keto reductase family	22888	2893
PF01408	PF09130	Low	NA	NA	NA	Oxidoreductase family, NAD-binding Rossmann fold	22318	2893
PF03446	PF09130	Low	GO:0055114	BP	oxidation-reduction process	NAD binding domain of 6-phosphogluconate dehydrogenase	19521	2893
PF07883	PF09130	Low	NA	NA	NA	Cupin domain	23778	2893
PF08240	PF09130	Low	GO:0055114	BP	oxidation-reduction process	Alcohol dehydrogenase GroES-like domain	22195	2893
PF12681	PF09130	Low	NA	NA	NA	Glyoxalase-like domain	20821	2893
PF13561	PF09130	Low	NA	NA	NA	Enoyl-(Acyl carrier protein) reductase	23041	2893
PF01205	PF09186	High	NA	NA	NA	Uncharacterized protein family UPF0029	16078	2
PF01381	PF09234	Low	NA	NA	NA	Helix-turn-helix	24979	5
PF05697	PF09234	Low	GO:0006457	BP	protein folding	Bacterial trigger factor protein (TF)	25651	5
PF05697	PF09234	Low	GO:0015031	BP	protein transport	Bacterial trigger factor protein (TF)	25651	5
PF13302	PF09234	Low	NA	NA	NA	Acetyltransferase (GNAT) domain	21839	5
PF00908	PF09314	Low	NA	NA	NA	dTDP-4-dehydrorhamnose 3,5-epimerase	17484	1
PF02397	PF09314	Low	NA	NA	NA	Bacterial sugar transferase	21753	1
PF04321	PF09314	Low	NA	NA	NA	RmlD substrate binding domain	18730	1
PF09356	PF09343	High	NA	NA	NA	Phage conserved hypothetical protein BR0599	1959	1
PF09931	PF09343	High	NA	NA	NA	Uncharacterized conserved protein (DUF2163)	1961	1
PF00107	PF09347	Low	GO:0055114	BP	oxidation-reduction process	Zinc-binding dehydrogenase	22139	2610
PF01266	PF09347	Low	GO:0055114	BP	oxidation-reduction process	FAD dependent oxidoreductase	22871	2610
PF08240	PF09347	Low	GO:0055114	BP	oxidation-reduction process	Alcohol dehydrogenase GroES-like domain	22195	2610
PF08241	PF09347	Low	GO:0008152	BP	metabolic process	Methyltransferase domain	24084	2610
PF12681	PF09347	Low	NA	NA	NA	Glyoxalase-like domain	20821	2610
PF12695	PF09347	Low	NA	NA	NA	Alpha/beta hydrolase family	23656	2610
PF12697	PF09347	Low	NA	NA	NA	Alpha/beta hydrolase family	25298	2610
PF13193	PF09347	Low	NA	NA	NA	AMP-binding enzyme C-terminal domain	22906	2610
PF13561	PF09347	Low	NA	NA	NA	Enoyl-(Acyl carrier protein) reductase	23041	2610
PF02392	PF09353	Low	GO:0015979	BP	photosynthesis	Ycf4	387	13985
PF06485	PF09353	Low	NA	NA	NA	RNA-binding protein Tab2/Atab2	400	13985
PF10726	PF09353	High	NA	NA	NA	Protein of function (DUF2518)	393	13985
PF11016	PF09353	Low	NA	NA	NA	Protein of unknown function (DUF2854)	399	13985
PF11210	PF09353	Low	NA	NA	NA	Protein of unknown function (DUF2996)	406	13985
PF11237	PF09353	Low	NA	NA	NA	Protein of unknown function (DUF3038)	399	13985
PF11267	PF09353	Low	NA	NA	NA	Domain of unknown function (DUF3067)	393	13985
PF11317	PF09353	High	NA	NA	NA	Protein of unknown function (DUF3119)	393	13985
PF11352	PF09353	Low	NA	NA	NA	Protein of unknown function (DUF3155)	393	13985
PF13319	PF09353	Low	NA	NA	NA	Protein of unknown function (DUF4090)	351	13985
PF14233	PF09353	Low	NA	NA	NA	Domain of unknown function (DUF4335)	401	13985
PF08890	PF09393	High	NA	NA	NA	Phage XkdN-like tail assembly chaperone protein, TAC	878	5440
PF10844	PF09393	High	NA	NA	NA	Protein of unknown function (DUF2577)	761	5440
PF10934	PF09393	High	NA	NA	NA	Protein of unknown function (DUF2634)	949	5440
PF12070	PF09418	Very high	GO:0006351	BP	transcription, DNA-templated	Protein SCAI	1	2000
PF00187	PF09428	Very high	NA	NA	NA	Chitin recognition protein	1	17
PF00626	PF09428	Very high	NA	NA	NA	Gelsolin repeat	1	17
PF02187	PF09428	Very high	NA	NA	NA	Growth-Arrest-Specific Protein 2 Domain	1	17
PF02487	PF09428	Very high	NA	NA	NA	CLN3 protein	1	17
PF02714	PF09428	Very high	NA	NA	NA	Calcium-dependent channel, 7TM region, putative phosphate	1	17
PF03177	PF09428	Very high	NA	NA	NA	Non-repetitive/WGA-negative nucleoporin C-terminal	1	17
PF03345	PF09428	Very high	GO:0018279	BP	protein N-linked glycosylation via asparagine	Oligosaccharyltransferase 48 kDa subunit beta	1	17
PF03443	PF09428	Very high	NA	NA	NA	Glycosyl hydrolase family 61	1	17
PF03531	PF09428	Very high	NA	NA	NA	Structure-specific recognition protein (SSRP1)	1	17
PF03856	PF09428	Very high	NA	NA	NA	Beta-glucosidase (SUN family)	1	17
PF04000	PF09428	Very high	NA	NA	NA	Sas10/Utp3/C1D family	1	17
PF04811	PF09428	Very high	GO:0006886	BP	intracellular protein transport	Sec23/Sec24 trunk domain	1	17
PF04811	PF09428	Very high	GO:0006888	BP	endoplasmic reticulum to Golgi vesicle-mediated transport	Sec23/Sec24 trunk domain	1	17
PF04815	PF09428	Very high	GO:0006886	BP	intracellular protein transport	Sec23/Sec24 helical domain	1	17
PF04815	PF09428	Very high	GO:0006888	BP	endoplasmic reticulum to Golgi vesicle-mediated transport	Sec23/Sec24 helical domain	1	17
PF04874	PF09428	Very high	NA	NA	NA	Mak16 protein C-terminal region	1	17
PF04979	PF09428	Very high	GO:0043666	BP	regulation of phosphoprotein phosphatase activity	Protein phosphatase inhibitor 2 (IPP-2)	1	17
PF04979	PF09428	Very high	GO:0009966	BP	regulation of signal transduction	Protein phosphatase inhibitor 2 (IPP-2)	1	17
PF05132	PF09428	Very high	GO:0006383	BP	transcription by RNA polymerase III	RNA polymerase III RPC4	1	17
PF05773	PF09428	Very high	NA	NA	NA	RWD domain	1	17
PF07923	PF09428	Very high	NA	NA	NA	N1221-like protein	1	17
PF08276	PF09428	Very high	NA	NA	NA	PAN-like domain	1	17
PF08568	PF09428	Very high	NA	NA	NA	Uncharacterised protein family, YAP/Alf4/glomulin	1	17
PF08619	PF09428	Very high	GO:0006814	BP	sodium ion transport	Alkali metal cation/H+ antiporter Nha1 C terminus	1	17
PF08642	PF09428	Very high	GO:0016575	BP	histone deacetylation	Histone deacetylation protein Rxt3	1	17
PF08699	PF09428	Very high	NA	NA	NA	Argonaute linker 1 domain	1	17
PF09809	PF09428	Very high	NA	NA	NA	Mitochondrial ribosomal protein L27	1	17
PF10159	PF09428	Very high	NA	NA	NA	Multiple myeloma tumor-associated	1	17
PF10165	PF09428	Very high	NA	NA	NA	Guanine nucleotide exchange factor synembryn	1	17
PF11764	PF09428	Very high	NA	NA	NA	COMPASS (Complex proteins associated with Set1p) component N	1	17
PF11882	PF09428	Very high	NA	NA	NA	Domain of unknown function (DUF3402)	1	17
PF11917	PF09428	Very high	NA	NA	NA	Protein of unknown function (DUF3435)	1	17
PF12621	PF09428	Very high	NA	NA	NA	Extracellular tail, of 10TM putative phosphate transporter	1	17
PF12935	PF09428	Very high	NA	NA	NA	Vesicle coat trafficking protein Sec16 N-terminus	1	17
PF13299	PF09428	Very high	NA	NA	NA	Cleavage and polyadenylation factor 2 C-terminal	1	17
PF13967	PF09428	Very high	NA	NA	NA	Late exocytosis, associated with Golgi transport	1	17
PF14475	PF09428	Very high	NA	NA	NA	Sec1-binding region of Mso1	1	17
PF14479	PF09428	Very high	NA	NA	NA	Prion-inhibition and propagation	1	17
PF14661	PF09428	Very high	NA	NA	NA	HAUS augmin-like complex subunit 6 N-terminus	1	17
PF14703	PF09428	Very high	NA	NA	NA	Cytosolic domain of 10TM putative phosphate transporter	1	17
PF14737	PF09428	Very high	NA	NA	NA	Domain of unknown function (DUF4470)	1	17
PF15474	PF09428	Very high	NA	NA	NA	Meiotically up-regulated gene family	1	17
PF14456	PF09436	High	NA	NA	NA	Alpha-helical domain 2	134	804
PF02341	PF09654	Low	NA	NA	NA	RbcX protein	272	4923
PF04485	PF09654	Low	NA	NA	NA	Phycobilisome degradation protein nblA	260	4923
PF14217	PF09654	Low	NA	NA	NA	Domain of unknown function (DUF4327)	273	4923
PF09661	PF09660	Very high	NA	NA	NA	Protein of unknown function (DUF2398)	1252	9107
PF09664	PF09660	High	NA	NA	NA	Protein of unknown function C-terminus (DUF2399)	1286	9107
PF11796	PF09660	High	NA	NA	NA	Protein of unknown function N-terminus (DUF3323)	1031	9107
PF09660	PF09661	Very high	NA	NA	NA	Protein of unknown function (DUF2397)	1301	1010
PF09664	PF09661	High	NA	NA	NA	Protein of unknown function C-terminus (DUF2399)	1286	1010
PF11796	PF09661	High	NA	NA	NA	Protein of unknown function N-terminus (DUF3323)	1031	1010
PF00069	PF09664	Low	GO:0006468	BP	protein phosphorylation	Protein kinase domain	19376	396
PF09660	PF09664	High	NA	NA	NA	Protein of unknown function (DUF2397)	1301	396
PF09661	PF09664	High	NA	NA	NA	Protein of unknown function (DUF2398)	1252	396
PF11796	PF09664	High	NA	NA	NA	Protein of unknown function N-terminus (DUF3323)	1031	396
PF00578	PF09722	Low	GO:0055114	BP	oxidation-reduction process	AhpC/TSA family	24298	1239
PF00999	PF09722	Low	GO:0055085	BP	transmembrane transport	Sodium/hydrogen exchanger family	23035	1239
PF00999	PF09722	Low	GO:0006812	BP	cation transport	Sodium/hydrogen exchanger family	23035	1239
PF01035	PF09722	Low	GO:0006281	BP	DNA repair	6-O-methylguanine DNA methyltransferase, DNA binding domain	24056	1239
PF01266	PF09722	Low	GO:0055114	BP	oxidation-reduction process	FAD dependent oxidoreductase	22871	1239
PF08241	PF09722	Low	GO:0008152	BP	metabolic process	Methyltransferase domain	24084	1239
PF08808	PF09722	Low	NA	NA	NA	RES domain	6386	1239
PF13193	PF09722	Low	NA	NA	NA	AMP-binding enzyme C-terminal domain	22906	1239
PF13489	PF09722	High	NA	NA	NA	Methyltransferase domain	22564	1239
PF00613	PF09745	Very high	NA	NA	NA	Phosphoinositide 3-kinase family, accessory domain (PIK domain)	1	1142
PF00806	PF09745	Very high	NA	NA	NA	Pumilio-family RNA binding repeat	1	1142
PF01237	PF09745	Very high	NA	NA	NA	Oxysterol-binding protein	1	1142
PF01843	PF09745	Very high	NA	NA	NA	DIL domain	1	1142
PF02207	PF09745	Very high	NA	NA	NA	Putative zinc finger in N-recognin (UBR box)	1	1142
PF04757	PF09745	Very high	NA	NA	NA	Pex2 / Pex12 amino terminal region	1	1142
PF04818	PF09745	Very high	NA	NA	NA	RNA polymerase II-binding domain.	1	1142
PF05047	PF09745	Very high	NA	NA	NA	Mitochondrial ribosomal protein L51 / S25 / CI-B8 domain	1	1142
PF05871	PF09745	Very high	GO:0071985	BP	multivesicular body sorting pathway	ESCRT-II complex subunit	1	1142
PF06090	PF09745	Very high	NA	NA	NA	Inositol-pentakisphosphate 2-kinase	1	1142
PF06417	PF09745	Very high	NA	NA	NA	Protein of unknown function (DUF1077)	1	1142
PF07713	PF09745	Very high	GO:0006397	BP	mRNA processing	Protein of unknown function (DUF1604)	1	1142
PF08295	PF09745	Very high	NA	NA	NA	Sin3 family co-repressor	1	1142
PF08620	PF09745	Very high	NA	NA	NA	RPAP1-like, C-terminal	1	1142
PF08825	PF09745	Very high	GO:0045116	BP	protein neddylation	E2 binding domain	1	1142
PF09416	PF09745	Very high	GO:0000184	BP	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	RNA helicase (UPF2 interacting domain)	1	1142
PF09692	PF09745	Very high	GO:0031047	BP	gene silencing by RNA	Argonaute siRNA chaperone (ARC) complex subunit Arb1	1	1142
PF09812	PF09745	Very high	NA	NA	NA	Mitochondrial ribosomal protein L28	1	1142
PF10153	PF09745	Very high	GO:0006364	BP	rRNA processing	rRNA-processing protein Efg1	1	1142
PF10347	PF09745	Very high	NA	NA	NA	RNA pol II promoter Fmp27 protein domain	1	1142
PF10937	PF09745	Very high	NA	NA	NA	Ribosomal protein S36, mitochondrial	1	1142
PF11326	PF09745	Very high	NA	NA	NA	Protein of unknown function (DUF3128)	1	1142
PF12090	PF09745	Very high	NA	NA	NA	Spt20 family	1	1142
PF12234	PF09745	Very high	NA	NA	NA	RAVE protein 1 C terminal	1	1142
PF13945	PF09745	Very high	NA	NA	NA	Salt tolerance down-regulator	1	1142
PF14510	PF09745	Very high	NA	NA	NA	ABC-transporter N-terminal	1	1142
PF14558	PF09745	Very high	NA	NA	NA	ML-like domain	1	1142
PF14671	PF09745	Very high	NA	NA	NA	Dual specificity protein phosphatase, N-terminal half	1	1142
PF15463	PF09745	Very high	NA	NA	NA	Extracellular mutant protein 11	1	1142
PF04411	PF09823	High	NA	NA	NA	PD-(D/E)XK nuclease superfamily	1192	1953
PF00581	PF09836	Low	NA	NA	NA	Rhodanese-like domain	24015	618
PF01266	PF09836	Low	GO:0055114	BP	oxidation-reduction process	FAD dependent oxidoreductase	22871	618
PF05114	PF09836	Very high	NA	NA	NA	Protein of unknown function (DUF692)	6072	618
PF10048	PF09836	High	NA	NA	NA	Predicted integral membrane protein (DUF2282)	2898	618
PF13489	PF09836	Low	NA	NA	NA	Methyltransferase domain	22564	618
PF12695	PF09844	Low	NA	NA	NA	Alpha/beta hydrolase family	23656	542
PF13561	PF09844	Low	NA	NA	NA	Enoyl-(Acyl carrier protein) reductase	23041	542
PF00438	PF09848	Low	GO:0006556	BP	S-adenosylmethionine biosynthetic process	S-adenosylmethionine synthetase, N-terminal domain	24472	666
PF00453	PF09848	Low	GO:0006412	BP	translation	Ribosomal protein L20	26122	666
PF00707	PF09848	Low	GO:0006413	BP	translational initiation	Translation initiation factor IF-3, C-terminal domain	26041	666
PF00712	PF09848	Low	GO:0006260	BP	DNA replication	DNA polymerase III beta subunit, N-terminal domain	25759	666
PF00750	PF09848	Low	NA	NA	NA	tRNA synthetases class I (R)	26268	666
PF00763	PF09848	Low	GO:0055114	BP	oxidation-reduction process	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain	25400	666
PF00834	PF09848	Low	GO:0005975	BP	carbohydrate metabolic process	Ribulose-phosphate 3 epimerase family	25588	666
PF01018	PF09848	Low	NA	NA	NA	GTP1/OBG	25327	666
PF01132	PF09848	Low	GO:0006414	BP	translational elongation	Elongation factor P (EF-P) OB domain	25781	666
PF01197	PF09848	Low	GO:0006412	BP	translation	Ribosomal protein L31	25995	666
PF01367	PF09848	Low	NA	NA	NA	5'-3' exonuclease, C-terminal SAM fold	25972	666
PF01381	PF09848	Low	NA	NA	NA	Helix-turn-helix	24979	666
PF01409	PF09848	Low	GO:0043039	BP	tRNA aminoacylation	tRNA synthetases class II core domain (F)	26359	666
PF01632	PF09848	Low	GO:0006412	BP	translation	Ribosomal protein L35	25501	666
PF01668	PF09848	Low	NA	NA	NA	SmpB protein	25791	666
PF01807	PF09848	Low	GO:0006260	BP	DNA replication	CHC2 zinc finger	25914	666
PF02367	PF09848	Low	GO:0002949	BP	tRNA threonylcarbamoyladenosine modification	Threonylcarbamoyl adenosine biosynthesis protein TsaE	25787	666
PF02403	PF09848	Low	NA	NA	NA	Seryl-tRNA synthetase N-terminal domain	25664	666
PF02772	PF09848	Low	GO:0006556	BP	S-adenosylmethionine biosynthetic process	S-adenosylmethionine synthetase, central domain	24552	666
PF02773	PF09848	Low	GO:0006556	BP	S-adenosylmethionine biosynthetic process	S-adenosylmethionine synthetase, C-terminal domain	24800	666
PF02882	PF09848	Low	NA	NA	NA	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain	25607	666
PF02912	PF09848	Low	GO:0006432	BP	phenylalanyl-tRNA aminoacylation	Aminoacyl tRNA synthetase class II, N-terminal domain	24964	666
PF03484	PF09848	Low	GO:0006432	BP	phenylalanyl-tRNA aminoacylation	tRNA synthetase B5 domain	25634	666
PF03485	PF09848	Low	GO:0006420	BP	arginyl-tRNA aminoacylation	Arginyl tRNA synthetase N terminal domain	25575	666
PF04851	PF09848	Low	NA	NA	NA	Type III restriction enzyme, res subunit	26189	666
PF05491	PF09848	Low	GO:0006281	BP	DNA repair	RuvB C-terminal winged helix domain	25667	666
PF05491	PF09848	Low	GO:0006310	BP	DNA recombination	RuvB C-terminal winged helix domain	25667	666
PF05697	PF09848	Low	GO:0006457	BP	protein folding	Bacterial trigger factor protein (TF)	25651	666
PF05697	PF09848	Low	GO:0015031	BP	protein transport	Bacterial trigger factor protein (TF)	25651	666
PF06071	PF09848	Low	NA	NA	NA	Protein of unknown function (DUF933)	25933	666
PF08207	PF09848	Low	NA	NA	NA	Elongation factor P (EF-P) KOW-like domain	26144	666
PF08275	PF09848	Low	NA	NA	NA	DNA primase catalytic core, N-terminal domain	26042	666
PF08459	PF09848	Low	NA	NA	NA	UvrC Helix-hairpin-helix N-terminal	25901	666
PF09285	PF09848	Low	GO:0043043	BP	peptide biosynthetic process	Elongation factor P, C-terminal	26200	666
PF12002	PF09848	Low	NA	NA	NA	MgsA AAA+ ATPase C terminal	23933	666
PF12344	PF09848	Low	NA	NA	NA	Ultra-violet resistance protein B	25640	666
PF13603	PF09848	Low	GO:0006418	BP	tRNA aminoacylation for protein translation	Leucyl-tRNA synthetase, Domain 2	25635	666
PF01841	PF09899	Low	NA	NA	NA	Transglutaminase-like superfamily	18863	NA
PF04168	PF09899	Low	NA	NA	NA	A predicted alpha-helical domain with a conserved ER motif.	7557	NA
PF04174	PF09899	Low	NA	NA	NA	A circularly permuted ATPgrasp	7893	NA
