TIGRFAM	DUF	CS	GO	Ontology	Description	TIGRFAMDescription	PFAMCount	DUFCount
TIGR02028	PF08853	High	GO:0015995	BP	chlorophyll biosynthetic process	geranylgeranyl reductase	400	14
TIGR02056	PF08853	High	NA	NA	NA	chlorophyll synthase ChlG	392	14
TIGR02387	PF08853	High	NA	NA	NA	DNA-directed RNA polymerase, gamma subunit	383	14
TIGR02732	PF08853	High	NA	NA	NA	9,9'-di-cis-zeta-carotene desaturase	376	14
TIGR03038	PF08853	High	NA	NA	NA	photosystem II reaction center protein PsbM	343	14
TIGR03039	PF08853	High	GO:0009769	BP	photosynthesis, light harvesting in photosystem II	photosystem II chlorophyll-binding protein CP47	402	14
TIGR03048	PF08853	High	GO:0009773	BP	photosynthetic electron transport in photosystem I	photosystem I iron-sulfur protein PsaC	390	14
TIGR04058	PF08853	Low	GO:0043447	BP	alkane biosynthetic process	long-chain fatty acyl-ACP reductase (aldehyde-forming)	350	14
TIGR01153	PF08854	High	NA	NA	NA	photosystem II 44 kDa subunit reaction center protein	371	42
TIGR01332	PF08854	Low	NA	NA	NA	cytochrome b559, alpha subunit	392	42
TIGR02654	PF08854	High	GO:0007623	BP	circadian rhythm	circadian clock protein KaiB	392	42
TIGR02730	PF08854	Low	GO:0016117	BP	carotenoid biosynthetic process	carotene isomerase	409	42
TIGR02732	PF08854	High	NA	NA	NA	9,9'-di-cis-zeta-carotene desaturase	376	42
TIGR03048	PF08854	Low	GO:0009773	BP	photosynthetic electron transport in photosystem I	photosystem I iron-sulfur protein PsaC	390	42
TIGR03060	PF08854	High	GO:0010207	BP	photosystem II assembly	photosystem II biogenesis protein Psp29	398	42
TIGR01152	PF08865	Low	NA	NA	NA	photosystem II D2 protein (photosystem q(a) protein)	337	1789
TIGR01153	PF08865	High	NA	NA	NA	photosystem II 44 kDa subunit reaction center protein	371	1789
TIGR01333	PF08865	Low	NA	NA	NA	cytochrome b559, beta subunit	361	1789
TIGR01335	PF08865	Low	NA	NA	NA	photosystem I core protein PsaA	379	1789
TIGR02056	PF08865	High	NA	NA	NA	chlorophyll synthase ChlG	392	1789
TIGR02654	PF08865	Low	GO:0007623	BP	circadian rhythm	circadian clock protein KaiB	392	1789
TIGR02749	PF08865	Low	GO:0010236	BP	plastoquinone biosynthetic process	solanesyl diphosphate synthase	396	1789
TIGR03047	PF08865	High	NA	NA	NA	photosystem II reaction center protein Psb28	402	1789
TIGR03060	PF08865	High	GO:0010207	BP	photosystem II assembly	photosystem II biogenesis protein Psp29	398	1789
TIGR04058	PF08865	High	GO:0043447	BP	alkane biosynthetic process	long-chain fatty acyl-ACP reductase (aldehyde-forming)	350	1789
TIGR04059	PF08865	High	GO:0043447	BP	alkane biosynthetic process	long-chain fatty aldehyde decarbonylase	355	1789
TIGR01000	PF08866	Low	NA	NA	NA	bacteriocin secretion accessory protein	250	4089
TIGR01886	PF08866	High	GO:0006508	BP	proteolysis	dipeptidase PepV	855	4089
TIGR03107	PF08866	High	NA	NA	NA	glutamyl aminopeptidase	533	4089
TIGR01635	PF08873	High	GO:0016032	BP	viral process	phage virion morphogenesis protein	1832	85
TIGR03913	PF08898	High	GO:0046500	BP	S-adenosylmethionine metabolic process	Y_X(10)_GDL-associated radical SAM protein	111	7
TIGR00547	PF08900	Low	GO:0009306	BP	protein secretion	outer membrane lipoprotein carrier protein LolA	6322	119
TIGR01690	PF08900	Very high	NA	NA	NA	integrative conjugative element protein, RAQPRD family	692	119
TIGR01932	PF08900	Low	GO:0045861	BP	negative regulation of proteolysis	HflC protein	10341	119
TIGR01933	PF08900	Low	GO:0045861	BP	negative regulation of proteolysis	HflK protein	10170	119
TIGR01942	PF08900	Low	NA	NA	NA	poly(A) polymerase	6665	119
TIGR02203	PF08900	Low	GO:0006869	BP	lipid transport	lipid A export permease/ATP-binding protein MsbA	6217	119
TIGR02209	PF08900	Low	GO:0000910	BP	cytokinesis	cell division protein FtsL	10493	119
TIGR02794	PF08900	Low	GO:0006810	BP	transport	protein TolA	6371	119
TIGR02794	PF08900	Low	GO:0009405	BP	pathogenesis	protein TolA	6371	119
TIGR03744	PF08900	Very high	GO:0008150	BP	biological_process	conjugative transfer ATPase, PFL_4706 family	748	119
TIGR03745	PF08900	Very high	GO:0008150	BP	biological_process	integrating conjugative element membrane protein, PFL_4702 family	634	119
TIGR03746	PF08900	Very high	GO:0008150	BP	biological_process	integrating conjugative element protein, PFL_4703 family	689	119
TIGR03747	PF08900	Very high	GO:0008150	BP	biological_process	integrating conjugative element membrane protein, PFL_4697 family	791	119
TIGR03748	PF08900	Very high	NA	NA	NA	integrating conjugative element protein PilL, PFGI-1 class	726	119
TIGR03749	PF08900	Very high	GO:0008150	BP	biological_process	integrating conjugative element protein, PFL_4704 family	740	119
TIGR03750	PF08900	Very high	NA	NA	NA	conjugative transfer region protein, TIGR03750 family	717	119
TIGR03751	PF08900	Very high	GO:0008150	BP	biological_process	conjugative transfer region lipoprotein, TIGR03751 family	744	119
TIGR03752	PF08900	Very high	GO:0008150	BP	biological_process	integrating conjugative element protein, PFL_4705 family	749	119
TIGR03754	PF08900	Very high	NA	NA	NA	conjugative coupling factor TraD, PFGI-1 class	781	119
TIGR03755	PF08900	Very high	NA	NA	NA	integrating conjugative element protein, PFL_4711 family	769	119
TIGR03756	PF08900	Very high	NA	NA	NA	integrating conjugative element protein, PFL_4710 family	764	119
TIGR03757	PF08900	High	NA	NA	NA	integrating conjugative element protein, PFL_4709 family	596	119
TIGR03758	PF08900	High	GO:0008150	BP	biological_process	integrating conjugative element protein, PFL_4701 family	637	119
TIGR03759	PF08900	Very high	GO:0008150	BP	biological_process	integrating conjugative element protein, PFL_4693 family	742	119
TIGR03760	PF08900	Very high	NA	NA	NA	integrating conjugative element relaxase, PFGI-1 class	827	119
TIGR03761	PF08900	Very high	NA	NA	NA	integrating conjugative element protein, PFL_4669 family	718	119
TIGR03764	PF08900	Very high	NA	NA	NA	integrating conjugative element, PFGI_1 class, ParB family protein	687	119
TIGR03765	PF08900	Very high	NA	NA	NA	integrating conjugative element protein, PFL_4695 family	726	119
TIGR02122	PF08905	Very high	GO:0006810	BP	transport	TRAP transporter solute receptor, TAXI family	7679	NA
TIGR02123	PF08905	Very high	NA	NA	NA	TRAP transporter, 4TM/12TM fusion protein	5330	NA
TIGR02774	PF08930	High	GO:0000724	BP	double-strand break repair via homologous recombination	ATP-dependent nuclease subunit B	308	NA
TIGR03980	PF08984	High	NA	NA	NA	hybrid cluster protein-associated redox disulfide domain	3252	540
TIGR03783	PF08989	Low	GO:0032196	BP	transposition	Bacteroides conjugation system ATPase, TraG family	972	550
TIGR00257	PF09186	Very high	NA	NA	NA	uncharacterized protein, YigZ family	15256	2
TIGR03835	PF09188	High	NA	NA	NA	terminal organelle assembly protein TopJ	9	1
TIGR03839	PF09188	High	NA	NA	NA	adhesin P1	9	1
TIGR03943	PF09323	High	NA	NA	NA	TIGR03943 family protein	3733	2439
TIGR01449	PF09327	Low	GO:0008152	BP	metabolic process	phosphoglycolate phosphatase, bacterial	10483	2309
TIGR01449	PF09327	Low	GO:0009853	BP	photorespiration	phosphoglycolate phosphatase, bacterial	10483	2309
TIGR01449	PF09327	Low	GO:0043094	BP	cellular metabolic compound salvage	phosphoglycolate phosphatase, bacterial	10483	2309
TIGR01600	PF09327	High	GO:0016032	BP	viral process	phage minor tail protein L	917	2309
TIGR01783	PF09327	Low	NA	NA	NA	TonB-dependent siderophore receptor	7891	2309
TIGR02216	PF09343	High	NA	NA	NA	phage conserved hypothetical protein	1011	1
TIGR02217	PF09343	Very high	NA	NA	NA	TIGR02217 family protein	1730	1
TIGR02218	PF09343	High	NA	NA	NA	phage conserved hypothetical protein BR0599	1889	1
TIGR02219	PF09343	High	NA	NA	NA	putative phage cell wall peptidase, NlpC/P60 family	1235	1
TIGR02712	PF09347	Very high	GO:0019627	BP	urea metabolic process	urea carboxylase	2875	2610
TIGR02713	PF09347	High	GO:0019627	BP	urea metabolic process	allophanate hydrolase	3534	2610
TIGR03424	PF09347	Very high	NA	NA	NA	urea carboxylase-associated protein 1	2657	2610
TIGR03425	PF09347	Very high	NA	NA	NA	urea carboxylase-associated protein 2	2576	2610
TIGR03427	PF09347	Low	NA	NA	NA	ABC transporter periplasmic binding protein, urea carboxylase region	1430	2610
TIGR01153	PF09353	High	NA	NA	NA	photosystem II 44 kDa subunit reaction center protein	371	13985
TIGR01333	PF09353	High	NA	NA	NA	cytochrome b559, beta subunit	361	13985
TIGR01335	PF09353	High	NA	NA	NA	photosystem I core protein PsaA	379	13985
TIGR01336	PF09353	High	NA	NA	NA	photosystem I core protein PsaB	376	13985
TIGR02056	PF09353	High	NA	NA	NA	chlorophyll synthase ChlG	392	13985
TIGR02387	PF09353	High	NA	NA	NA	DNA-directed RNA polymerase, gamma subunit	383	13985
TIGR03047	PF09353	High	NA	NA	NA	photosystem II reaction center protein Psb28	402	13985
TIGR03048	PF09353	High	GO:0009773	BP	photosynthetic electron transport in photosystem I	photosystem I iron-sulfur protein PsaC	390	13985
TIGR03060	PF09353	High	GO:0010207	BP	photosystem II assembly	photosystem II biogenesis protein Psp29	398	13985
TIGR03697	PF09353	High	GO:0006355	BP	regulation of transcription, DNA-templated	global nitrogen regulator NtcA	396	13985
TIGR03697	PF09353	High	GO:0006808	BP	regulation of nitrogen utilization	global nitrogen regulator NtcA	396	13985
TIGR04058	PF09353	Low	GO:0043447	BP	alkane biosynthetic process	long-chain fatty acyl-ACP reductase (aldehyde-forming)	350	13985
TIGR04059	PF09353	High	GO:0043447	BP	alkane biosynthetic process	long-chain fatty aldehyde decarbonylase	355	13985
TIGR02453	PF09365	Very high	NA	NA	NA	TIGR02453 family protein	5200	12001
TIGR00272	PF09428	High	GO:0017183	BP	peptidyl-diphthamide biosynthetic process from peptidyl-histidine	diphthamide biosynthesis protein 2	2	17
TIGR00803	PF09428	Very high	NA	NA	NA	UDP-galactose transporter	1	17
TIGR00844	PF09428	Very high	GO:0006814	BP	sodium ion transport	sodium/hydrogen antiporter	1	17
TIGR00955	PF09428	High	NA	NA	NA	pigment precursor permease	2	17
TIGR01456	PF09428	Very high	NA	NA	NA	HAD hydrolase, TIGR01456 family	1	17
TIGR01652	PF09428	High	NA	NA	NA	phospholipid-translocating P-type ATPase, flippase	2	17
TIGR03734	PF09436	High	NA	NA	NA	PRTRC system ParB family protein	242	804
TIGR03735	PF09436	High	NA	NA	NA	PRTRC system protein A	329	804
TIGR03736	PF09436	Low	NA	NA	NA	PRTRC system ThiF family protein	728	804
TIGR03737	PF09436	Low	NA	NA	NA	PRTRC system protein B	651	804
TIGR03738	PF09436	Low	NA	NA	NA	PRTRC system protein C	593	804
TIGR03741	PF09436	Low	NA	NA	NA	PRTRC system protein E	558	804
TIGR03742	PF09436	High	NA	NA	NA	PRTRC system protein F	135	804
TIGR02450	PF09493	Very high	NA	NA	NA	tryptophan-rich conserved hypothetical protein	1492	NA
TIGR02448	PF09498	Very high	NA	NA	NA	conserverd hypothetical protein	842	2606
TIGR02444	PF09523	Very high	NA	NA	NA	TIGR02444 family protein	2217	NA
TIGR02443	PF09526	High	NA	NA	NA	conserved hypothetical protein	2812	NA
TIGR02265	PF09536	High	NA	NA	NA	Myxococcales-restricted protein, TIGR02265 family	84	1
TIGR02284	PF09537	Very high	NA	NA	NA	conserved hypothetical protein	2827	14
TIGR02301	PF09539	Very high	NA	NA	NA	TIGR02301 family protein	1092	3396
TIGR02271	PF09557	Very high	NA	NA	NA	conserved domain	1934	15
TIGR02922	PF09558	High	GO:0008150	BP	biological_process	TIGR02922 family protein	69	1354
TIGR02808	PF09574	Very high	NA	NA	NA	TIGR02808 family protein	341	3176
TIGR02117	PF09601	Very high	NA	NA	NA	conserved hypothetical protein	1637	274
TIGR02587	PF09622	High	NA	NA	NA	putative integral membrane protein TIGR02587	453	1337
TIGR02588	PF09622	High	NA	NA	NA	TIGR02588 family protein	535	1337
TIGR01337	PF09654	High	GO:0015979	BP	photosynthesis	allophycocyanin, beta subunit	334	4923
TIGR02652	PF09654	Very high	GO:0008150	BP	biological_process	TIGR02652 family protein	271	4923
TIGR03556	PF09654	High	NA	NA	NA	deoxyribodipyrimidine photo-lyase, 8-HDF type	252	4923
TIGR04376	PF09654	High	NA	NA	NA	TIGR04376 family protein	274	4923
TIGR02677	PF09660	Very high	NA	NA	NA	TIGR02677 family protein	1205	9107
TIGR02678	PF09660	Very high	NA	NA	NA	TIGR02678 family protein	1211	9107
TIGR02679	PF09660	Very high	NA	NA	NA	TIGR02679 family protein	1029	9107
TIGR02680	PF09660	Very high	NA	NA	NA	TIGR02680 family protein	1067	9107
TIGR02677	PF09661	Very high	NA	NA	NA	TIGR02677 family protein	1205	1010
TIGR02678	PF09661	Very high	NA	NA	NA	TIGR02678 family protein	1211	1010
TIGR02679	PF09661	Very high	NA	NA	NA	TIGR02679 family protein	1029	1010
TIGR02680	PF09661	Very high	NA	NA	NA	TIGR02680 family protein	1067	1010
TIGR02677	PF09664	Very high	NA	NA	NA	TIGR02677 family protein	1205	396
TIGR02678	PF09664	Very high	NA	NA	NA	TIGR02678 family protein	1211	396
TIGR02679	PF09664	Very high	NA	NA	NA	TIGR02679 family protein	1029	396
TIGR02680	PF09664	Very high	NA	NA	NA	TIGR02680 family protein	1067	396
TIGR02757	PF09674	Very high	GO:0008150	BP	biological_process	TIGR02757 family protein	3257	340
TIGR02293	PF09722	Very high	NA	NA	NA	putative toxin-antitoxin system antitoxin component, TIGR02293 family	2473	1239
TIGR00272	PF09745	High	GO:0017183	BP	peptidyl-diphthamide biosynthetic process from peptidyl-histidine	diphthamide biosynthesis protein 2	2	1142
TIGR00600	PF09745	Very high	NA	NA	NA	DNA excision repair protein (rad2)	1	1142
TIGR00955	PF09745	High	NA	NA	NA	pigment precursor permease	2	1142
TIGR01989	PF09745	Very high	NA	NA	NA	ubiquinone biosynthesis monooxygenase COQ6	1	1142
TIGR04167	PF09837	Very high	NA	NA	NA	radical SAM/Cys-rich domain protein	2254	714
TIGR04282	PF09837	Very high	GO:0009058	BP	biosynthetic process	transferase 1, rSAM/selenodomain-associated	3663	714
TIGR04283	PF09837	Very high	GO:0009058	BP	biosynthetic process	transferase 2, rSAM/selenodomain-associated	3258	714
TIGR04377	PF09863	Low	GO:0019310	BP	inositol catabolic process	3,5/4-trihydroxycyclohexa-1,2-dione hydrolase	4762	942
TIGR04378	PF09863	High	GO:0019310	BP	inositol catabolic process	5-deoxy-glucuronate isomerase	4416	942
TIGR04379	PF09863	High	GO:0019310	BP	inositol catabolic process	myo-inosose-2 dehydratase	3207	942
TIGR04382	PF09863	High	GO:0019310	BP	inositol catabolic process	5-dehydro-2-deoxygluconokinase	4714	942
TIGR03275	PF09872	Very high	NA	NA	NA	putative methanogenesis marker protein 8	23	2273
TIGR02216	PF09931	High	NA	NA	NA	phage conserved hypothetical protein	1011	NA
TIGR02217	PF09931	High	NA	NA	NA	TIGR02217 family protein	1730	NA
TIGR02218	PF09931	Very high	NA	NA	NA	phage conserved hypothetical protein BR0599	1889	NA
TIGR02219	PF09931	High	NA	NA	NA	putative phage cell wall peptidase, NlpC/P60 family	1235	NA
TIGR03344	PF09937	High	GO:0009405	BP	pathogenesis	type VI secretion system effector, Hcp1 family	3720	2
TIGR03344	PF09937	High	GO:0052048	BP	NA	type VI secretion system effector, Hcp1 family	3720	2
TIGR03345	PF09937	High	GO:0033103	BP	protein secretion by the type VI secretion system	type VI secretion ATPase, ClpV1 family	3359	2
TIGR03347	PF09937	High	GO:0033103	BP	protein secretion by the type VI secretion system	type VI secretion protein, VC_A0111 family	3628	2
TIGR03348	PF09937	Low	GO:0033103	BP	protein secretion by the type VI secretion system	type VI secretion protein IcmF	3242	2
TIGR03349	PF09937	High	GO:0052048	BP	NA	type IV/VI secretion system protein, DotU family	3768	2
TIGR03352	PF09937	Low	GO:0033103	BP	protein secretion by the type VI secretion system	type VI secretion lipoprotein, VC_A0113 family	2889	2
TIGR03353	PF09937	High	GO:0033103	BP	protein secretion by the type VI secretion system	type VI secretion protein, VC_A0114 family	3693	2
TIGR03355	PF09937	High	GO:0033103	BP	protein secretion by the type VI secretion system	type VI secretion protein, EvpB/VC_A0108 family	3729	2
TIGR03357	PF09937	High	GO:0033103	BP	protein secretion by the type VI secretion system	type VI secretion system lysozyme-like protein	3523	2
TIGR03358	PF09937	High	GO:0033103	BP	protein secretion by the type VI secretion system	type VI secretion protein, VC_A0107 family	3697	2
TIGR03359	PF09937	High	GO:0033103	BP	protein secretion by the type VI secretion system	type VI secretion protein, TIGR03359 family	3671	2
TIGR03361	PF09937	High	GO:0033103	BP	protein secretion by the type VI secretion system	type VI secretion system Vgr family protein	3569	2
TIGR01555	PF09950	Very high	NA	NA	NA	phage-associated protein, HI1409 family	708	2194
TIGR01539	PF09956	High	GO:0019068	BP	virion assembly	phage portal protein, lambda family	2115	175
TIGR03833	PF09962	Very high	GO:0008150	BP	biological_process	conserved hypothetical protein	2453	5
TIGR01555	PF09979	Very high	NA	NA	NA	phage-associated protein, HI1409 family	708	NA
TIGR00241	PF09989	Very high	GO:0018307	BP	enzyme active site formation	putative CoA-substrate-specific enzyme activase	5152	NA
TIGR01382	PF10002	Low	GO:0006508	BP	proteolysis	intracellular protease, PfpI family	10549	NA
TIGR02452	PF10021	Very high	NA	NA	NA	TIGR02452 family protein	1629	6549
TIGR01633	PF10035	Low	GO:0016032	BP	viral process	putative phage tail component, N-terminal domain	916	1
TIGR00929	PF10038	High	NA	NA	NA	type IV secretion/conjugal transfer ATPase, VirB4 family	3153	15
TIGR02771	PF10038	High	GO:0000746	BP	conjugation	conjugative transfer signal peptidase TraF	1688	15
TIGR02775	PF10038	Very high	GO:0009291	BP	unidirectional conjugation	P-type conjugative transfer protein TrbG	1769	15
TIGR02780	PF10038	High	GO:0009291	BP	unidirectional conjugation	P-type conjugative transfer protein TrbJ	2029	15
TIGR02782	PF10038	High	NA	NA	NA	P-type conjugative transfer ATPase TrbB	1678	15
TIGR02783	PF10038	High	GO:0009291	BP	unidirectional conjugation	P-type conjugative transfer protein TrbL	1868	15
TIGR04360	PF10038	High	GO:0009292	BP	genetic transfer	conjugative transfer region protein TrbK	556	15
TIGR03662	PF10060	High	NA	NA	NA	chlor_Arch_YYY domain	840	1096
TIGR00068	PF10074	Low	GO:0005975	BP	carbohydrate metabolic process	lactoylglutathione lyase	10383	494
TIGR00068	PF10074	Low	GO:0051596	BP	methylglyoxal catabolic process	lactoylglutathione lyase	10383	494
TIGR00929	PF10074	High	NA	NA	NA	type IV secretion/conjugal transfer ATPase, VirB4 family	3153	494
TIGR02154	PF10074	Low	GO:0000160	BP	phosphorelay signal transduction system	phosphate regulon transcriptional regulatory protein PhoB	8185	494
TIGR02154	PF10074	Low	GO:0006355	BP	regulation of transcription, DNA-templated	phosphate regulon transcriptional regulatory protein PhoB	8185	494
TIGR02154	PF10074	Low	GO:0006796	BP	phosphate-containing compound metabolic process	phosphate regulon transcriptional regulatory protein PhoB	8185	494
TIGR02771	PF10074	High	GO:0000746	BP	conjugation	conjugative transfer signal peptidase TraF	1688	494
TIGR02775	PF10074	High	GO:0009291	BP	unidirectional conjugation	P-type conjugative transfer protein TrbG	1769	494
TIGR02780	PF10074	High	GO:0009291	BP	unidirectional conjugation	P-type conjugative transfer protein TrbJ	2029	494
TIGR02782	PF10074	High	NA	NA	NA	P-type conjugative transfer ATPase TrbB	1678	494
TIGR02783	PF10074	High	GO:0009291	BP	unidirectional conjugation	P-type conjugative transfer protein TrbL	1868	494
TIGR02799	PF10074	Low	NA	NA	NA	tol-pal system-associated acyl-CoA thioesterase	8501	494
TIGR04360	PF10074	High	GO:0009292	BP	genetic transfer	conjugative transfer region protein TrbK	556	494
TIGR03936	PF10105	Very high	NA	NA	NA	radical SAM-linked protein	4119	NA
TIGR03960	PF10105	High	GO:0008152	BP	metabolic process	radical SAM family uncharacterized protein	5264	NA
TIGR03648	PF10335	Low	NA	NA	NA	probable sodium:solute symporter, VC_2705 subfamily	6480	23
TIGR03925	PF10370	Low	GO:0009306	BP	protein secretion	type VII secretion protein EccCb	1248	2055
TIGR04363	PF10370	Low	NA	NA	NA	FxLD family lantipeptide	367	2055
TIGR00068	PF10617	Low	GO:0005975	BP	carbohydrate metabolic process	lactoylglutathione lyase	10383	1
TIGR00068	PF10617	Low	GO:0051596	BP	methylglyoxal catabolic process	lactoylglutathione lyase	10383	1
TIGR00203	PF10617	Low	GO:0055114	BP	oxidation-reduction process	cytochrome d ubiquinol oxidase, subunit II	12944	1
TIGR02894	PF10673	High	NA	NA	NA	transcription factor, RsfA family	1189	9
TIGR04478	PF10673	Low	GO:0008152	BP	metabolic process	radical SAM/CxCxxxxC motif protein YfkAB	1175	9
TIGR03853	PF10678	Very high	NA	NA	NA	putative metal-binding protein	807	5
TIGR03049	PF10693	High	GO:0019684	BP	photosynthesis, light reaction	photosystem I reaction center subunit PsaK	403	7
TIGR01105	PF10713	Low	GO:0009225	BP	nucleotide-sugar metabolic process	regulatory protein GalF	482	685
TIGR03823	PF10713	Low	NA	NA	NA	flagellar regulatory protein FliZ	557	685
TIGR01152	PF10726	High	NA	NA	NA	photosystem II D2 protein (photosystem q(a) protein)	337	1974
TIGR01153	PF10726	High	NA	NA	NA	photosystem II 44 kDa subunit reaction center protein	371	1974
TIGR01332	PF10726	High	NA	NA	NA	cytochrome b559, alpha subunit	392	1974
TIGR01333	PF10726	High	NA	NA	NA	cytochrome b559, beta subunit	361	1974
TIGR01335	PF10726	High	NA	NA	NA	photosystem I core protein PsaA	379	1974
TIGR01336	PF10726	High	NA	NA	NA	photosystem I core protein PsaB	376	1974
TIGR02028	PF10726	High	GO:0015995	BP	chlorophyll biosynthetic process	geranylgeranyl reductase	400	1974
TIGR02048	PF10726	High	GO:0006750	BP	glutathione biosynthetic process	putative glutamate--cysteine ligase	406	1974
TIGR02056	PF10726	High	NA	NA	NA	chlorophyll synthase ChlG	392	1974
TIGR02387	PF10726	High	NA	NA	NA	DNA-directed RNA polymerase, gamma subunit	383	1974
TIGR02654	PF10726	High	GO:0007623	BP	circadian rhythm	circadian clock protein KaiB	392	1974
TIGR02732	PF10726	Low	NA	NA	NA	9,9'-di-cis-zeta-carotene desaturase	376	1974
TIGR02749	PF10726	High	GO:0010236	BP	plastoquinone biosynthetic process	solanesyl diphosphate synthase	396	1974
TIGR03038	PF10726	Low	NA	NA	NA	photosystem II reaction center protein PsbM	343	1974
TIGR03039	PF10726	Low	GO:0009769	BP	photosynthesis, light harvesting in photosystem II	photosystem II chlorophyll-binding protein CP47	402	1974
TIGR03043	PF10726	Low	NA	NA	NA	photosystem II core protein PsbZ	381	1974
TIGR03047	PF10726	High	NA	NA	NA	photosystem II reaction center protein Psb28	402	1974
TIGR03048	PF10726	High	GO:0009773	BP	photosynthetic electron transport in photosystem I	photosystem I iron-sulfur protein PsaC	390	1974
TIGR03049	PF10726	High	GO:0019684	BP	photosynthesis, light reaction	photosystem I reaction center subunit PsaK	403	1974
TIGR03052	PF10726	Low	GO:0019684	BP	photosynthesis, light reaction	photosystem I reaction center subunit VIII	305	1974
TIGR03060	PF10726	High	GO:0010207	BP	photosystem II assembly	photosystem II biogenesis protein Psp29	398	1974
TIGR04058	PF10726	High	GO:0043447	BP	alkane biosynthetic process	long-chain fatty acyl-ACP reductase (aldehyde-forming)	350	1974
TIGR04059	PF10726	High	GO:0043447	BP	alkane biosynthetic process	long-chain fatty aldehyde decarbonylase	355	1974
TIGR00403	PF10742	High	GO:0019684	BP	photosynthesis, light reaction	NADH-plastoquinone oxidoreductase, I subunit	401	3605
TIGR01152	PF10742	High	NA	NA	NA	photosystem II D2 protein (photosystem q(a) protein)	337	3605
TIGR01153	PF10742	High	NA	NA	NA	photosystem II 44 kDa subunit reaction center protein	371	3605
TIGR01156	PF10742	High	GO:0055114	BP	oxidation-reduction process	cytb6/f complex subunit IV	408	3605
TIGR01332	PF10742	High	NA	NA	NA	cytochrome b559, alpha subunit	392	3605
TIGR01333	PF10742	High	NA	NA	NA	cytochrome b559, beta subunit	361	3605
TIGR02028	PF10742	Low	GO:0015995	BP	chlorophyll biosynthetic process	geranylgeranyl reductase	400	3605
TIGR02056	PF10742	High	NA	NA	NA	chlorophyll synthase ChlG	392	3605
TIGR02387	PF10742	High	NA	NA	NA	DNA-directed RNA polymerase, gamma subunit	383	3605
TIGR02654	PF10742	High	GO:0007623	BP	circadian rhythm	circadian clock protein KaiB	392	3605
TIGR02732	PF10742	High	NA	NA	NA	9,9'-di-cis-zeta-carotene desaturase	376	3605
TIGR03044	PF10742	High	NA	NA	NA	photosystem II protein Psb27	396	3605
TIGR03047	PF10742	Low	NA	NA	NA	photosystem II reaction center protein Psb28	402	3605
TIGR03048	PF10742	High	GO:0009773	BP	photosynthetic electron transport in photosystem I	photosystem I iron-sulfur protein PsaC	390	3605
TIGR03697	PF10742	High	GO:0006355	BP	regulation of transcription, DNA-templated	global nitrogen regulator NtcA	396	3605
TIGR03697	PF10742	High	GO:0006808	BP	regulation of nitrogen utilization	global nitrogen regulator NtcA	396	3605
TIGR01760	PF10758	Low	GO:0016032	BP	viral process	phage tail tape measure protein, TP901 family, core region	4765	1129
TIGR01540	PF10761	High	NA	NA	NA	phage portal protein, PBSX family	1386	1162
TIGR01551	PF10761	High	GO:0019069	BP	viral capsid assembly	phage major capsid protein, P2 family	1093	1162
TIGR01760	PF10761	Low	GO:0016032	BP	viral process	phage tail tape measure protein, TP901 family, core region	4765	1162
TIGR03342	PF10761	Low	NA	NA	NA	sulfur relay protein, TusE/DsrC/DsvC family	4564	1162
TIGR01105	PF10762	High	GO:0009225	BP	nucleotide-sugar metabolic process	regulatory protein GalF	482	1179
TIGR03823	PF10762	High	NA	NA	NA	flagellar regulatory protein FliZ	557	1179
TIGR01105	PF10767	Low	GO:0009225	BP	nucleotide-sugar metabolic process	regulatory protein GalF	482	1
TIGR03823	PF10767	High	NA	NA	NA	flagellar regulatory protein FliZ	557	1
TIGR01105	PF10769	High	GO:0009225	BP	nucleotide-sugar metabolic process	regulatory protein GalF	482	2284
TIGR03392	PF10769	High	GO:0016226	BP	iron-sulfur cluster assembly	cysteine desulfurase, catalytic subunit CsdA	642	2284
TIGR01540	PF10772	High	NA	NA	NA	phage portal protein, PBSX family	1386	185
TIGR01551	PF10772	High	GO:0019069	BP	viral capsid assembly	phage major capsid protein, P2 family	1093	185
TIGR01760	PF10772	Low	GO:0016032	BP	viral process	phage tail tape measure protein, TP901 family, core region	4765	185
TIGR03342	PF10772	Low	NA	NA	NA	sulfur relay protein, TusE/DsrC/DsvC family	4564	185
TIGR01337	PF10792	High	GO:0015979	BP	photosynthesis	allophycocyanin, beta subunit	334	3424
TIGR01338	PF10792	High	GO:0015979	BP	photosynthesis	phycocyanin, alpha subunit	313	3424
TIGR01339	PF10792	Low	GO:0015979	BP	photosynthesis	phycocyanin, beta subunit	320	3424
TIGR01960	PF10792	Low	NA	NA	NA	NAD(P)H dehydrogenase, subunit NdhF3 family	343	3424
TIGR01964	PF10792	Low	NA	NA	NA	CO2 hydration protein	345	3424
TIGR03042	PF10792	High	NA	NA	NA	photosystem II protein PsbQ	296	3424
TIGR03045	PF10792	High	NA	NA	NA	cytochrome c-550	344	3424
TIGR01635	PF10805	Low	GO:0016032	BP	viral process	phage virion morphogenesis protein	1832	2458
TIGR03774	PF10811	High	NA	NA	NA	rickettsial palindromic element RPE2 domain	45	3073
TIGR03775	PF10811	High	NA	NA	NA	rickettsial palindromic element RPE3 domain	52	3073
TIGR03776	PF10811	High	NA	NA	NA	rickettsial palindromic element RPE5 domain	47	3073
TIGR04005	PF10831	High	NA	NA	NA	colanic acid biosynthesis glycosyltransferase WcaL	205	8
