KO	DUF	CS	Pathway	Description	KODescription	KOCount	DUFCount
K19981	PF08933	High	map01100	Metabolic pathways	prnB; monodechloroaminopyrrolnitrin synthase	154	7250
K19981	PF08933	High	map01130	Biosynthesis of antibiotics	prnB; monodechloroaminopyrrolnitrin synthase	154	7250
K07405	PF09094	Low	map00500	Starch and sucrose metabolism	E3.2.1.1A; alpha-amylase [EC:3.2.1.1]	2252	10
K07405	PF09094	Low	map01100	Metabolic pathways	E3.2.1.1A; alpha-amylase [EC:3.2.1.1]	2252	10
K04618	PF09118	Low	map00052	Galactose metabolism	GAOA; galactose oxidase [EC:1.1.3.9]	195	2028
K04618	PF09118	Low	map01100	Metabolic pathways	GAOA; galactose oxidase [EC:1.1.3.9]	195	2028
K10218	PF09130	High	map00362	Benzoate degradation	ligK, galC; 4-hydroxy-4-methyl-2-oxoglutarate aldolase [EC:4.1.3.17]	6108	2893
K10218	PF09130	High	map00660	C5-Branched dibasic acid metabolism	ligK, galC; 4-hydroxy-4-methyl-2-oxoglutarate aldolase [EC:4.1.3.17]	6108	2893
K10218	PF09130	High	map01100	Metabolic pathways	ligK, galC; 4-hydroxy-4-methyl-2-oxoglutarate aldolase [EC:4.1.3.17]	6108	2893
K10218	PF09130	High	map01120	Microbial metabolism in diverse environments	ligK, galC; 4-hydroxy-4-methyl-2-oxoglutarate aldolase [EC:4.1.3.17]	6108	2893
K18315	PF09147	High	map00332	Carbapenem biosynthesis	cpmC, carC; (5R)-carbapenem-3-carboxylate synthase [EC:1.14.20.3]	40	NA
K18315	PF09147	High	map01100	Metabolic pathways	cpmC, carC; (5R)-carbapenem-3-carboxylate synthase [EC:1.14.20.3]	40	NA
K18315	PF09147	High	map01130	Biosynthesis of antibiotics	cpmC, carC; (5R)-carbapenem-3-carboxylate synthase [EC:1.14.20.3]	40	NA
K18315	PF09147	High	map02024	Quorum sensing	cpmC, carC; (5R)-carbapenem-3-carboxylate synthase [EC:1.14.20.3]	40	NA
K18316	PF09147	Very high	map00332	Carbapenem biosynthesis	cpmA, carA; carbapenam-3-carboxylate synthase [EC:6.3.3.6]	28	NA
K18316	PF09147	Very high	map01100	Metabolic pathways	cpmA, carA; carbapenam-3-carboxylate synthase [EC:6.3.3.6]	28	NA
K18316	PF09147	Very high	map01130	Biosynthesis of antibiotics	cpmA, carA; carbapenam-3-carboxylate synthase [EC:6.3.3.6]	28	NA
K18316	PF09147	Very high	map02024	Quorum sensing	cpmA, carA; carbapenam-3-carboxylate synthase [EC:6.3.3.6]	28	NA
K18318	PF09147	High	map00332	Carbapenem biosynthesis	cpmD, carD; carbapenem biosynthesis protein, putative proline dehydrogenase [EC:1.5.-.-]	22	NA
K18318	PF09147	High	map01100	Metabolic pathways	cpmD, carD; carbapenem biosynthesis protein, putative proline dehydrogenase [EC:1.5.-.-]	22	NA
K18318	PF09147	High	map01130	Biosynthesis of antibiotics	cpmD, carD; carbapenem biosynthesis protein, putative proline dehydrogenase [EC:1.5.-.-]	22	NA
K18318	PF09147	High	map02024	Quorum sensing	cpmD, carD; carbapenem biosynthesis protein, putative proline dehydrogenase [EC:1.5.-.-]	22	NA
K16149	PF09210	Very high	map00500	Starch and sucrose metabolism	K16149; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]	2609	NA
K16149	PF09210	Very high	map01100	Metabolic pathways	K16149; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]	2609	NA
K16149	PF09210	Very high	map01110	Biosynthesis of secondary metabolites	K16149; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]	2609	NA
K06445	PF09317	Very high	map00071	Fatty acid degradation	fadE; acyl-CoA dehydrogenase [EC:1.3.99.-]	4185	3227
K06445	PF09317	Very high	map01100	Metabolic pathways	fadE; acyl-CoA dehydrogenase [EC:1.3.99.-]	4185	3227
K06445	PF09317	Very high	map01212	Fatty acid metabolism	fadE; acyl-CoA dehydrogenase [EC:1.3.99.-]	4185	3227
K01457	PF09347	Low	map00220	Arginine biosynthesis	atzF; allophanate hydrolase [EC:3.5.1.54]	8022	2610
K01457	PF09347	Low	map00791	Atrazine degradation	atzF; allophanate hydrolase [EC:3.5.1.54]	8022	2610
K01457	PF09347	Low	map01100	Metabolic pathways	atzF; allophanate hydrolase [EC:3.5.1.54]	8022	2610
K01457	PF09347	Low	map01120	Microbial metabolism in diverse environments	atzF; allophanate hydrolase [EC:3.5.1.54]	8022	2610
K01941	PF09347	Low	map00220	Arginine biosynthesis	E6.3.4.6; urea carboxylase [EC:6.3.4.6]	7525	2610
K01941	PF09347	Low	map00791	Atrazine degradation	E6.3.4.6; urea carboxylase [EC:6.3.4.6]	7525	2610
K01941	PF09347	Low	map01100	Metabolic pathways	E6.3.4.6; urea carboxylase [EC:6.3.4.6]	7525	2610
K00799	PF09351	Low	map00480	Glutathione metabolism	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	1
K00799	PF09351	Low	map00980	Metabolism of xenobiotics by cytochrome P450	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	1
K00799	PF09351	Low	map00982	Drug metabolism - cytochrome P450	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	1
K00799	PF09351	Low	map00983	Drug metabolism - other enzymes	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	1
K00799	PF09351	Low	map01100	Metabolic pathways	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	1
K00799	PF09351	Low	map01524	Platinum drug resistance	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	1
K00799	PF09351	Low	map05200	Pathways in cancer	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	1
K00799	PF09351	Low	map05204	Chemical carcinogenesis	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	1
K00799	PF09351	Low	map05225	Hepatocellular carcinoma	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	1
K00799	PF09351	Low	map05418	Fluid shear stress and atherosclerosis	GST, gst; glutathione S-transferase [EC:2.5.1.18]	10026	1
K02285	PF09353	High	map00196	Photosynthesis - antenna proteins	cpcB; phycocyanin beta chain	391	13985
K02285	PF09353	High	map01100	Metabolic pathways	cpcB; phycocyanin beta chain	391	13985
K02634	PF09353	High	map00195	Photosynthesis	petA; apocytochrome f	402	13985
K02634	PF09353	High	map01100	Metabolic pathways	petA; apocytochrome f	402	13985
K02689	PF09353	High	map00195	Photosynthesis	psaA; photosystem I P700 chlorophyll a apoprotein A1	380	13985
K02689	PF09353	High	map01100	Metabolic pathways	psaA; photosystem I P700 chlorophyll a apoprotein A1	380	13985
K02690	PF09353	High	map00195	Photosynthesis	psaB; photosystem I P700 chlorophyll a apoprotein A2	372	13985
K02690	PF09353	High	map01100	Metabolic pathways	psaB; photosystem I P700 chlorophyll a apoprotein A2	372	13985
K02691	PF09353	High	map00195	Photosynthesis	psaC; photosystem I subunit VII	390	13985
K02691	PF09353	High	map01100	Metabolic pathways	psaC; photosystem I subunit VII	390	13985
K02694	PF09353	High	map00195	Photosynthesis	psaF; photosystem I subunit III	391	13985
K02694	PF09353	High	map01100	Metabolic pathways	psaF; photosystem I subunit III	391	13985
K02697	PF09353	High	map00195	Photosynthesis	psaJ; photosystem I subunit IX	348	13985
K02698	PF09353	Low	map00195	Photosynthesis	psaK; photosystem I subunit X	402	13985
K02705	PF09353	High	map00195	Photosynthesis	psbC; photosystem II CP43 chlorophyll apoprotein	384	13985
K02705	PF09353	High	map01100	Metabolic pathways	psbC; photosystem II CP43 chlorophyll apoprotein	384	13985
K02706	PF09353	Low	map00195	Photosynthesis	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	341	13985
K02706	PF09353	Low	map01100	Metabolic pathways	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]	341	13985
K02707	PF09353	High	map00195	Photosynthesis	psbE; photosystem II cytochrome b559 subunit alpha	390	13985
K02707	PF09353	High	map01100	Metabolic pathways	psbE; photosystem II cytochrome b559 subunit alpha	390	13985
K02708	PF09353	High	map00195	Photosynthesis	psbF; photosystem II cytochrome b559 subunit beta	361	13985
K02708	PF09353	High	map01100	Metabolic pathways	psbF; photosystem II cytochrome b559 subunit beta	361	13985
K02709	PF09353	Low	map00195	Photosynthesis	psbH; photosystem II PsbH protein	389	13985
K02711	PF09353	High	map00195	Photosynthesis	psbJ; photosystem II PsbJ protein	265	13985
K02713	PF09353	Low	map00195	Photosynthesis	psbL; photosystem II PsbL protein	216	13985
K02714	PF09353	High	map00195	Photosynthesis	psbM; photosystem II PsbM protein	332	13985
K02716	PF09353	High	map00195	Photosynthesis	psbO; photosystem II oxygen-evolving enhancer protein 1	396	13985
K02722	PF09353	High	map00195	Photosynthesis	psbX; photosystem II PsbX protein	325	13985
K05370	PF09353	Low	map00860	Porphyrin and chlorophyll metabolism	pebB; phycoerythrobilin:ferredoxin oxidoreductase [EC:1.3.7.3]	220	13985
K05370	PF09353	Low	map01110	Biosynthesis of secondary metabolites	pebB; phycoerythrobilin:ferredoxin oxidoreductase [EC:1.3.7.3]	220	13985
K05583	PF09353	Low	map00190	Oxidative phosphorylation	ndhL; NAD(P)H-quinone oxidoreductase subunit L [EC:7.1.1.2]	351	13985
K05583	PF09353	Low	map01100	Metabolic pathways	ndhL; NAD(P)H-quinone oxidoreductase subunit L [EC:7.1.1.2]	351	13985
K05585	PF09353	High	map00190	Oxidative phosphorylation	ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]	389	13985
K05585	PF09353	High	map01100	Metabolic pathways	ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]	389	13985
K08903	PF09353	High	map00195	Photosynthesis	psb28; photosystem II 13kDa protein	401	13985
K14371	PF09369	Low	map00522	Biosynthesis of 12-, 14- and 16-membered macrolides	aveA; type I polyketide synthase AVES	611	4246
K14371	PF09369	Low	map01052	Type I polyketide structures	aveA; type I polyketide synthase AVES	611	4246
K14371	PF09369	Low	map01100	Metabolic pathways	aveA; type I polyketide synthase AVES	611	4246
K14371	PF09369	Low	map01130	Biosynthesis of antibiotics	aveA; type I polyketide synthase AVES	611	4246
K15670	PF09369	Low	map01051	Biosynthesis of ansamycins	rifA; rifamycin polyketide synthase modules 1, 2 and 3	523	4246
K15670	PF09369	Low	map01052	Type I polyketide structures	rifA; rifamycin polyketide synthase modules 1, 2 and 3	523	4246
K15671	PF09369	Low	map01051	Biosynthesis of ansamycins	rifB; rifamycin polyketide synthase modules 4, 5 and 6	547	4246
K15671	PF09369	Low	map01052	Type I polyketide structures	rifB; rifamycin polyketide synthase modules 4, 5 and 6	547	4246
K16000	PF09369	Low	map00522	Biosynthesis of 12-, 14- and 16-membered macrolides	pikAI; narbonolide/10-deoxymethynolide synthase [EC:2.3.1.240 2.3.1.239]	818	4246
K16000	PF09369	Low	map01052	Type I polyketide structures	pikAI; narbonolide/10-deoxymethynolide synthase [EC:2.3.1.240 2.3.1.239]	818	4246
K16000	PF09369	Low	map01100	Metabolic pathways	pikAI; narbonolide/10-deoxymethynolide synthase [EC:2.3.1.240 2.3.1.239]	818	4246
K16000	PF09369	Low	map01130	Biosynthesis of antibiotics	pikAI; narbonolide/10-deoxymethynolide synthase [EC:2.3.1.240 2.3.1.239]	818	4246
K16001	PF09369	Low	map00522	Biosynthesis of 12-, 14- and 16-membered macrolides	pikAII; narbonolide/10-deoxymethynolide synthase [EC:2.3.1.240 2.3.1.239]	830	4246
K16001	PF09369	Low	map01052	Type I polyketide structures	pikAII; narbonolide/10-deoxymethynolide synthase [EC:2.3.1.240 2.3.1.239]	830	4246
K16001	PF09369	Low	map01100	Metabolic pathways	pikAII; narbonolide/10-deoxymethynolide synthase [EC:2.3.1.240 2.3.1.239]	830	4246
K16001	PF09369	Low	map01130	Biosynthesis of antibiotics	pikAII; narbonolide/10-deoxymethynolide synthase [EC:2.3.1.240 2.3.1.239]	830	4246
K16029	PF09369	Low	map01051	Biosynthesis of ansamycins	asmA; ansamitocin polyketide synthase A	552	4246
K16029	PF09369	Low	map01052	Type I polyketide structures	asmA; ansamitocin polyketide synthase A	552	4246
K16373	PF09369	Low	map01052	Type I polyketide structures	nidA3; niddamycin polyketide synthase 3	861	4246
K16376	PF09369	Low	map01052	Type I polyketide structures	fkbC; polyketide synthase FkbC	850	4246
K16386	PF09369	Low	map01052	Type I polyketide structures	amphJ, nysJ; polyene macrolide polyketide synthase	795	4246
K16393	PF09369	Low	map01052	Type I polyketide structures	fscB; candicidin polyketide synthase FscB	673	4246
K16401	PF09369	Low	map01052	Type I polyketide structures	sorA; soraphen polyketide synthase A	482	4246
K00838	PF09428	High	map00130	Ubiquinone and other terpenoid-quinone biosynthesis	ARO8; aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]	2	17
K00838	PF09428	High	map00270	Cysteine and methionine metabolism	ARO8; aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]	2	17
K00838	PF09428	High	map00300	Lysine biosynthesis	ARO8; aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]	2	17
K00838	PF09428	High	map00350	Tyrosine metabolism	ARO8; aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]	2	17
K00838	PF09428	High	map00360	Phenylalanine metabolism	ARO8; aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]	2	17
K00838	PF09428	High	map00380	Tryptophan metabolism	ARO8; aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]	2	17
K00838	PF09428	High	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis	ARO8; aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]	2	17
K00838	PF09428	High	map00401	Novobiocin biosynthesis	ARO8; aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]	2	17
K00838	PF09428	High	map00950	Isoquinoline alkaloid biosynthesis	ARO8; aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]	2	17
K00838	PF09428	High	map00960	Tropane, piperidine and pyridine alkaloid biosynthesis	ARO8; aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]	2	17
K00838	PF09428	High	map01100	Metabolic pathways	ARO8; aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]	2	17
K00838	PF09428	High	map01110	Biosynthesis of secondary metabolites	ARO8; aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]	2	17
K00838	PF09428	High	map01130	Biosynthesis of antibiotics	ARO8; aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]	2	17
K00838	PF09428	High	map01210	2-Oxocarboxylic acid metabolism	ARO8; aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]	2	17
K00838	PF09428	High	map01230	Biosynthesis of amino acids	ARO8; aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]	2	17
K01052	PF09428	Very high	map00100	Steroid biosynthesis	LIPA; lysosomal acid lipase/cholesteryl ester hydrolase [EC:3.1.1.13]	1	17
K01052	PF09428	Very high	map04142	Lysosome	LIPA; lysosomal acid lipase/cholesteryl ester hydrolase [EC:3.1.1.13]	1	17
K01052	PF09428	Very high	map04979	Cholesterol metabolism	LIPA; lysosomal acid lipase/cholesteryl ester hydrolase [EC:3.1.1.13]	1	17
K01228	PF09428	Very high	map00510	N-Glycan biosynthesis	MOGS; mannosyl-oligosaccharide glucosidase [EC:3.2.1.106]	1	17
K01228	PF09428	Very high	map01100	Metabolic pathways	MOGS; mannosyl-oligosaccharide glucosidase [EC:3.2.1.106]	1	17
K01228	PF09428	Very high	map04141	Protein processing in endoplasmic reticulum	MOGS; mannosyl-oligosaccharide glucosidase [EC:3.2.1.106]	1	17
K03032	PF09428	Very high	map03050	Proteasome	PSMD1, RPN2; 26S proteasome regulatory subunit N2	1	17
K03032	PF09428	Very high	map05169	Epstein-Barr virus infection	PSMD1, RPN2; 26S proteasome regulatory subunit N2	1	17
K05283	PF09428	High	map00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	PIGW; glucosaminylphosphatidylinositol acyltransferase [EC:2.3.-.-]	2	17
K05283	PF09428	High	map01100	Metabolic pathways	PIGW; glucosaminylphosphatidylinositol acyltransferase [EC:2.3.-.-]	2	17
K06670	PF09428	Very high	map04110	Cell cycle	SCC1, MCD1, RAD21; cohesin complex subunit SCC1	1	17
K06670	PF09428	Very high	map04111	Cell cycle - yeast	SCC1, MCD1, RAD21; cohesin complex subunit SCC1	1	17
K06671	PF09428	High	map04110	Cell cycle	STAG1_2, SCC3, IRR1; cohesin complex subunit SA-1/2	2	17
K06671	PF09428	High	map04111	Cell cycle - yeast	STAG1_2, SCC3, IRR1; cohesin complex subunit SA-1/2	2	17
K06671	PF09428	High	map04113	Meiosis - yeast	STAG1_2, SCC3, IRR1; cohesin complex subunit SA-1/2	2	17
K07297	PF09428	Very high	map04152	AMPK signaling pathway	ADIPOR; adiponectin receptor	1	17
K07297	PF09428	Very high	map04211	Longevity regulating pathway	ADIPOR; adiponectin receptor	1	17
K07297	PF09428	Very high	map04920	Adipocytokine signaling pathway	ADIPOR; adiponectin receptor	1	17
K07297	PF09428	Very high	map04932	Non-alcoholic fatty liver disease (NAFLD)	ADIPOR; adiponectin receptor	1	17
K08513	PF09428	Very high	map04130	SNARE interactions in vesicular transport	VAMP4; vesicle-associated membrane protein 4	1	17
K11237	PF09428	Very high	map04011	MAPK signaling pathway - yeast	BEM1; bud emergence protein 1	1	17
K11238	PF09428	Very high	map04011	MAPK signaling pathway - yeast	BNI1; cytokinesis protein	1	17
K12190	PF09428	Very high	map04144	Endocytosis	VPS36, EAP45; ESCRT-II complex subunit VPS36	1	17
K12389	PF09428	Very high	map04142	Lysosome	BTS, CLN3; battenin	1	17
K12846	PF09428	Very high	map03040	Spliceosome	SNRNP27; U4/U6.U5 tri-snRNP-associated protein 3	1	17
K12848	PF09428	Very high	map03040	Spliceosome	SNU23; U4/U6.U5 tri-snRNP component SNU23	1	17
K13333	PF09428	Very high	map00564	Glycerophospholipid metabolism	PLB; lysophospholipase [EC:3.1.1.5]	1	17
K14312	PF09428	Very high	map03013	RNA transport	NUP155, NUP170, NUP157; nuclear pore complex protein Nup155	1	17
K14402	PF09428	Very high	map03015	mRNA surveillance pathway	CPSF2, CFT2; cleavage and polyadenylation specificity factor subunit 2	1	17
K14537	PF09428	Very high	map03008	Ribosome biogenesis in eukaryotes	NUG2, GNL2; nuclear GTP-binding protein	1	17
K14567	PF09428	Very high	map03008	Ribosome biogenesis in eukaryotes	UTP14; U3 small nucleolar RNA-associated protein 14	1	17
K15156	PF09428	Very high	map04919	Thyroid hormone signaling pathway	MED14, RGR1; mediator of RNA polymerase II transcription subunit 14	1	17
K20168	PF09428	Very high	map04137	Mitophagy - animal	TBC1D15; TBC1 domain family member 15	1	17
K20184	PF09428	Very high	map04138	Autophagy - yeast	VPS41; vacuolar protein sorting-associated protein 41	1	17
K02092	PF09654	Low	map00196	Photosynthesis - antenna proteins	apcA; allophycocyanin alpha subunit	330	4923
K02092	PF09654	Low	map01100	Metabolic pathways	apcA; allophycocyanin alpha subunit	330	4923
K02093	PF09654	High	map00196	Photosynthesis - antenna proteins	apcB; allophycocyanin beta subunit	334	4923
K02093	PF09654	High	map01100	Metabolic pathways	apcB; allophycocyanin beta subunit	334	4923
K02095	PF09654	Low	map00196	Photosynthesis - antenna proteins	apcD; allophycocyanin-B	331	4923
K02095	PF09654	Low	map01100	Metabolic pathways	apcD; allophycocyanin-B	331	4923
K02097	PF09654	High	map00196	Photosynthesis - antenna proteins	apcF; phycobilisome core component	334	4923
K02097	PF09654	High	map01100	Metabolic pathways	apcF; phycobilisome core component	334	4923
K02287	PF09654	High	map00196	Photosynthesis - antenna proteins	cpcD; phycocyanin-associated, rod	251	4923
K02287	PF09654	High	map01100	Metabolic pathways	cpcD; phycocyanin-associated, rod	251	4923
K08904	PF09654	High	map00195	Photosynthesis	psb28-2; photosystem II Psb28-2 protein	163	4923
K09834	PF09654	Low	map00130	Ubiquinone and other terpenoid-quinone biosynthesis	VTE1, SXD1; tocopherol cyclase [EC:5.5.1.24]	238	4923
K09834	PF09654	Low	map01100	Metabolic pathways	VTE1, SXD1; tocopherol cyclase [EC:5.5.1.24]	238	4923
K09834	PF09654	Low	map01110	Biosynthesis of secondary metabolites	VTE1, SXD1; tocopherol cyclase [EC:5.5.1.24]	238	4923
K11522	PF09654	High	map02020	Two-component system	pixG; two-component system, chemotaxis family, response regulator PixG	239	4923
K11524	PF09654	High	map02020	Two-component system	pixI; positive phototaxis protein PixI	209	4923
K11525	PF09654	High	map02020	Two-component system	pixJ; methyl-accepting chemotaxis protein PixJ	213	4923
K11526	PF09654	High	map02020	Two-component system	pixL; two-component system, chemotaxis family, sensor histidine kinase and response regulator PixL	217	4923
K11950	PF09654	Low	map02010	ABC transporters	cmpA; bicarbonate transport system substrate-binding protein	202	4923
K00888	PF09745	Very high	map00562	Inositol phosphate metabolism	PI4KA; phosphatidylinositol 4-kinase A [EC:2.7.1.67]	1	1142
K00888	PF09745	Very high	map01100	Metabolic pathways	PI4KA; phosphatidylinositol 4-kinase A [EC:2.7.1.67]	1	1142
K00888	PF09745	Very high	map04011	MAPK signaling pathway - yeast	PI4KA; phosphatidylinositol 4-kinase A [EC:2.7.1.67]	1	1142
K00888	PF09745	Very high	map04070	Phosphatidylinositol signaling system	PI4KA; phosphatidylinositol 4-kinase A [EC:2.7.1.67]	1	1142
K02202	PF09745	High	map03022	Basal transcription factors	CDK7; cyclin-dependent kinase 7 [EC:2.7.11.22 2.7.11.23]	2	1142
K02202	PF09745	High	map03420	Nucleotide excision repair	CDK7; cyclin-dependent kinase 7 [EC:2.7.11.22 2.7.11.23]	2	1142
K02202	PF09745	High	map04110	Cell cycle	CDK7; cyclin-dependent kinase 7 [EC:2.7.11.22 2.7.11.23]	2	1142
K02516	PF09745	Very high	map03013	RNA transport	PRMT5, HSL7; type II protein arginine methyltransferase [EC:2.1.1.320]	1	1142
K02516	PF09745	Very high	map04011	MAPK signaling pathway - yeast	PRMT5, HSL7; type II protein arginine methyltransferase [EC:2.1.1.320]	1	1142
K02516	PF09745	Very high	map04111	Cell cycle - yeast	PRMT5, HSL7; type II protein arginine methyltransferase [EC:2.1.1.320]	1	1142
K03018	PF09745	Very high	map03020	RNA polymerase	RPC1, POLR3A; DNA-directed RNA polymerase III subunit RPC1 [EC:2.7.7.6]	1	1142
K03018	PF09745	Very high	map04623	Cytosolic DNA-sensing pathway	RPC1, POLR3A; DNA-directed RNA polymerase III subunit RPC1 [EC:2.7.7.6]	1	1142
K03027	PF09745	Very high	map03020	RNA polymerase	RPC40, POLR1C; DNA-directed RNA polymerases I and III subunit RPAC1	1	1142
K03027	PF09745	Very high	map04623	Cytosolic DNA-sensing pathway	RPC40, POLR1C; DNA-directed RNA polymerases I and III subunit RPAC1	1	1142
K03350	PF09745	Very high	map04110	Cell cycle	APC3, CDC27; anaphase-promoting complex subunit 3	1	1142
K03350	PF09745	Very high	map04111	Cell cycle - yeast	APC3, CDC27; anaphase-promoting complex subunit 3	1	1142
K03350	PF09745	Very high	map04113	Meiosis - yeast	APC3, CDC27; anaphase-promoting complex subunit 3	1	1142
K03350	PF09745	Very high	map04114	Oocyte meiosis	APC3, CDC27; anaphase-promoting complex subunit 3	1	1142
K03350	PF09745	Very high	map04120	Ubiquitin mediated proteolysis	APC3, CDC27; anaphase-promoting complex subunit 3	1	1142
K03350	PF09745	Very high	map04914	Progesterone-mediated oocyte maturation	APC3, CDC27; anaphase-promoting complex subunit 3	1	1142
K03350	PF09745	Very high	map05166	Human T-cell leukemia virus 1 infection	APC3, CDC27; anaphase-promoting complex subunit 3	1	1142
K03845	PF09745	Very high	map00510	N-Glycan biosynthesis	ALG3; alpha-1,3-mannosyltransferase [EC:2.4.1.258]	1	1142
K03845	PF09745	Very high	map00513	Various types of N-glycan biosynthesis	ALG3; alpha-1,3-mannosyltransferase [EC:2.4.1.258]	1	1142
K03845	PF09745	Very high	map01100	Metabolic pathways	ALG3; alpha-1,3-mannosyltransferase [EC:2.4.1.258]	1	1142
K04513	PF09745	Very high	map04011	MAPK signaling pathway - yeast	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04014	Ras signaling pathway	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04015	Rap1 signaling pathway	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04022	cGMP-PKG signaling pathway	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04024	cAMP signaling pathway	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04062	Chemokine signaling pathway	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04071	Sphingolipid signaling pathway	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04072	Phospholipase D signaling pathway	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04144	Endocytosis	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04150	mTOR signaling pathway	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04270	Vascular smooth muscle contraction	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04310	Wnt signaling pathway	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04350	TGF-beta signaling pathway	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04360	Axon guidance	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04361	Axon regeneration	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04510	Focal adhesion	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04520	Adherens junction	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04530	Tight junction	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04611	Platelet activation	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04621	NOD-like receptor signaling pathway	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04625	C-type lectin receptor signaling pathway	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04660	T cell receptor signaling pathway	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04670	Leukocyte transendothelial migration	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04722	Neurotrophin signaling pathway	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04810	Regulation of actin cytoskeleton	RHOA; Ras homolog gene family, member A	1	1142
K04513	PF09745	Very high	map04921	Oxytocin signaling pathway	RHOA; Ras homolog gene family, member A	1	1142
